,img,explanation
104,31960.png,"this meme is considered offensive because it promotes negative stereotypes about chinese people, suggesting they prefer eating raw meat."
105,47918.png,this meme is offensive because it promotes racism and suggests that all black people are violent and all white people are peaceful.
106,62710.png,"this meme is considered offensive because it promotes racism, bigotry, and hatred towards people of african descent."
107,45209.png,this meme is considered offensive because it uses derogatory language to target and mock people with disabilties.
108,08395.png,"this meme is offensive because it suggests that all people who practice islam are violent, which is not accurate."
109,69807.png,this meme is considered offensive because it promotes negative stereotypes about people who are african and suggests that they are responsible for their own deaths from aids.
110,50894.png,"this meme is considered offensive because it trivializes and minimizes the tremendous impact that martin luther king, jr had."
111,83215.png,this meme is considered offensive because it implicitly promotes racism by implying that all black people are thieves and that white people are superior to black people.
112,86329.png,"this meme is offensive because it promotes harmful stereotypes about muslims, suggesting that they are violent and willing to kill innocent people."
113,48930.png,"this meme is offensive because it accuses ilhan omar of telling that usa is not a country where white people can live, which is factually incorrect."
114,93128.png,"this meme is offensive because it suggests that liberals are dumb, conservatives are great, and that liberals are the devil."
115,63784.png,"this meme is considered offensive because it promotes misinformation and stereotypes about muslims, suggesting they plan terrorist attacks."
116,52803.png,"this meme is not necessarily offensive in and of itself, but it could be considered inappropriate or distasteful in certain contexts."
117,12837.png,this meme is offensive because it promotes hatred against european people
118,41958.png,this meme is considered offensive because it promotes negative stereotypes and prejudices against white people.
119,17054.png,this meme is considered offensive because it promotes negative and harmful stereotypes about lesbians.
120,92408.png,his meme is offensive because it suggests that black people do not belong in certain neighborhoods or communities
121,48162.png,this meme is extremely offensive because it makes fun of people who were killed during the holocaust.
122,79854.png,this meme is offensive because it promotes hatred against a community.
123,31426.png,this meme is offensive because it mocks michelle obama for her appearence.
124,81602.png,this meme is considered offensive because it makes light of a serious subject and mocks transgender people.
125,06194.png,this meme is offensive because it promotes burning of books.
126,64193.png,this meme is considered offensive because it uses offensive language to insult someone.
127,34915.png,this meme is considered offensive because it promotes negative stereotypes about women.
128,52904.png,this meme is considered offensive because it has graphic content and undermines the need of consent. 
129,07523.png,this meme is offensive because it makes fun of feminists and suggests that women are responsible for the actions of men.
130,59024.png,this meme is considered offensive because it makes stereotypes of religious people.
131,64051.png,this meme is offensive because it makes fun of black people for their financial issues.
132,70189.png,this meme is considered offensive because it makes light of the holocaust and the suffering of millions of people.
133,32587.png,this meme is considered offensive because it makes fun of a woman.
134,05471.png,this meme is offensive because it makes fun of sexual assault.
135,62831.png,this meme is offensive because it compares muslims to an animal.
136,76423.png,this meme is considered offensive because it mocks the peoples with down syndrome.
137,14679.png,this meme is considered offensive because it promotes racism.
138,41362.png,"this meme is offensive because it promotes a harmful stereotype about muslims, suggesting that they are violent and threatening."
139,67835.png,this meme is considered offensive because it compares women to dishwasher.
140,36725.png,this meme is considered offensive because it promotes racism.
141,30598.png,"this meme is offensive because it promotes a harmful stereotype about muslims, suggesting that they are violent and willing to kill innocent people."
142,13968.png,"this meme is considered offensive because it promotes violence against men, and implies that all men are evil."
143,26184.png,"meme is offensive because it makes light of the holocaust, in which millions of people were systematically murdered."
144,03178.png,this meme is considered offensive because it promotes islamophobia and stereotypes that all muslims are violent.
145,53927.png,"this meme is offensive because it promotes a harmful stereotype about muslims, suggesting that they are violent and untrustworthy."
146,72340.png,this meme is offensive because it suggests that muslims are violent.
147,49726.png,this meme is considered offensive because it calls someone of being zoophilic.
148,80945.png,this meme is offensive because it promotes sexism and misogyny by implicitly suggesting that women are good at cooking only.
149,69528.png,"this meme is considered offensive because it makes fun of women, suggesting that they use sex for financial issues."
150,90861.png,this meme is considered offensive because it promotes pedophilia.
151,27134.png,this meme is offensive because it suggests that american appliances are of poor quality.
152,74356.png,this meme is considered offensive because it calls someone zoophilic based on religious identity.
153,48396.png,this meme is offensive because it promotes racism against indians.
154,95403.png,this meme might not be offensive.
155,29178.png,this meme is considered offensive because it uses racist language.
156,62184.png,this meme is considered offensive because it mocks the victims of atomic bombing.
157,41063.png,"this meme is offensive because it makes light of the holocaust, one of the most horrific events in human history."
158,80316.png,this meme is offensive because it promotes hatred against all muslims due to actions of a few.
159,87140.png,this meme is offensive because it suggests that women can't drive properly
160,09267.png,this meme is offensive because it use offensive terms.
161,32957.png,this meme is offensive because it suggests that muslims engage in zoophilia.
162,35614.png,this meme is considered offensive because it promotes a negative stereotype of muslims.
163,19074.png,this meme is offensive because it promotes hatred against muslim immigrants.
164,60598.png,"this meme is offensive because it makes light of the holocaust, one of the most horrific events in human history."
165,24537.png,this meme is considered offensive because it uses racist and derogatory language.
166,12907.png,this meme is considered offensive because it indicates that black people belong in jail.
167,78069.png,this meme is offensive because it mocks the people with cancer.
168,91340.png,this meme is considered offensive because it mocks people based on their skin color.
169,47386.png,this meme is offensive because it suggests that all muslims are terrorists.
170,36724.png,this meme is considered offensive because it promotes rough language against children.
171,07628.png,this meme is offensive because it suggests that muslims are violent.
172,05941.png,this meme is offensive because it stsreotypes against black people.
173,18273.png,this meme is offensive because it suggests that white people are untrustworthy.
174,49170.png,this meme is considered offensive because it promotes negative and harmful stereotypes about mothers and women.
175,72594.png,this meme is considered offensive because it makes light of and mocks transgender people.
176,61935.png,this meme is considered offensive because it promotes negative and harmful stereotypes about women.
177,56470.png,this meme is considered offensive because it makes light of racism.
178,57134.png,this meme is offensive because it makes light of the institution of slavery and suggesting that people deserved to be slaves.
179,53147.png,this meme is offensive because it promotes stereotypes against immigrants
180,13269.png,"the meme is considered offensive because it makes light of the lynching of emmett till, a 14 year old boy who was lynched in mississippi in 1955."
181,14386.png,this meme is considered offensive because it promotes negative stereotypes about black people.
182,70612.png,this meme is considered offensive because it uses racist language to target a specific group of people.
183,75098.png,this meme is considered offensive because it promotes negative stereotypes about interracial couples.
184,02431.png,this meme is offensive because it makes objectifies women and indicates that their job is cooking.
185,12957.png,this meme is considered offensive because it suggests that non-white people get undue privilages due to their color
186,73168.png,"this meme is offensive because it promotes a harmful stereotype about african americans, suggesting that they are violent and prone to committing crimes."
187,24501.png,this meme is considered offensive because it suggest someone being zoophilic.
188,05643.png,this meme is offensive because it mocks the misery of african kids.
189,30481.png,this meme may not be offensive.
190,19875.png,this meme is offensive because it suggests promotes prejudice against muslims.
191,41832.png,this meme is considered offensive because it promotes negative stereotypes about older generations and women.
192,28601.png,this meme is considered offensive because it mocks black people.
193,84910.png,this meme is offensive because it promotes racism against african americans.
194,19502.png,this meme may not be offensive
195,01469.png,this meme is offensive because it suggests that muslims are violent.
196,50748.png,this meme is considered offensive because it promotes transphobia and suggests that it is inappropriate for children to dress in costumes that correspond with their gender identity.
197,50679.png,this meme is considered offensive because it compares black child to pets.
198,10465.png,this meme is considered offensive because it promotes violence and it mocks american independence by showing atomic explosion.
199,28614.png,this meme is considered offensive because it promotes violence.
200,52640.png,"this meme is considered offensive because it makes light of obesity, which is a common and serious medical condition."
201,57013.png,this meme is considered offensive because it promotes negative stereotypes about people who are black.
202,98723.png,this meme is offensive because it promotes racism and stereotypes black people as violent and irrational.
203,71042.png,this meme is considered offensive because it promotes negative and harmful stereotypes about people who are lgbtq.
204,36875.png,this meme is not necessarily offensive because it makes light of autism.
205,24861.png,this meme is considered offensive because it is showing extramarital affair and making joke out of it.
206,94532.png,"this meme is offensive because it makes light of the holocaust, one of the most horrific events in human history."
207,60487.png,"this meme is offensive because it promotes a harmful stereotype about muslims, suggesting that they are violent and threatening."
208,92364.png,this meme is considered offensive because it promotes anti-semitic stereotypes.
209,83547.png,"this meme is offensive because it promotes harmful stereotypes about white people, suggesting that they are racist and that they owned people as pets."
210,07561.png,this meme is offensive because it is stereotypic about jews and shows anti-semtic sentiment.
211,76104.png,this meme is offensive because it suggests that refugees are dangerous and pose a threat to american society.
212,45601.png,"this meme is offensive because it suggests that all obama voters are baboons, which is hateful portrayal and also not accurate."
213,02891.png,"this meme is offensive because it is showing negative stereotype about muslim woman, where is also portrays implicitly that they are violent."
214,87693.png,"this meme is considered offensive because it promotes negative and harmful stereotypes about muslims women, suggesting their abnormal sexual favors."
215,03794.png,this meme is offensive because it suggests is a negative portrayal of lgbtq people.
216,91042.png,"this meme is offensive because it makes light of the holocaust, one of the most horrific events in human history."
217,92160.png,"this meme is offensive because it makes light of the holocaust, one of the most horrific events in human history."
218,31508.png,this meme is offensive because it promotes islamophobia and suggests negative stereotypes about lgbtq people.
219,65824.png,this meme is considered offensive because it makes light of a serious subject and trivializes the experience of people with disabilities.
220,46138.png,this meme is considered offensive because it promotes body shaming with sexual connotations.
221,51629.png,this meme is offensive because it makes joke of a serious and violent crime and it implicitly shows bias towards muslims that they are sexually pervert.
222,27965.png,this meme is offensive because it shows implicit bias towards woman.
223,43025.png,this meme is considered offensive because it promotes racism and stereotypes black people as criminals.
224,19258.png,this meme is considered offensive because it promotes negative body image and bias towards crippled people.
225,47123.png,"this meme is not necessarily considered offensive on its own, but it could be seen as promoting a stereotype about people who are black if it is interpreted in a certain way."
226,46501.png,this meme is offensive because it promotes a number of harmful stereotypes and prejudices about muslims also suggesting they are responsible for attack of 9/11.
227,42163.png,this meme is considered offensive because it promotes negative stereotypes about farmers and ranchers and promotes implicit racism.
228,04813.png,this meme is offensive because it promotes white supremacy through the use of a skin disease called vitiligo.
229,95387.png,"this meme is considered offensive because it promotes hatred and violence against people who are lesbian, gay, bisexual, or transgender (lgbt)."
230,08146.png,"this meme is offensive because it suggests that gamers hate women and minorities, which is not true."
231,15478.png,this meme is considered offensive because it uses anne frank's picture in a party setting to make joke of the holocaust.
232,43216.png,"this meme is offensive because it promotes harmful stereotypes about india, suggesting that it is dangerous and unstable."
233,82697.png,this meme is considered offensive because it promotes homophobia and misogyny.
234,43610.png,"this meme is considered offensive because it promotes racism, specifically against latina women."
235,61725.png,"this meme is offensive because it promotes harmful stereotypes about transgender people, suggesting that they are somehow less female than cisgender women."
236,75234.png,"this meme is offensive because it promotes harmful stereotypes about muslims, suggesting that they are violent and intolerant."
237,14083.png,this meme is offensive because it promotes negative stereotypes about south african immigrants.
238,30961.png,"this meme is considered offensive because it mocks stevie wonder with the word 'i see', because stevie wonder is blind."
239,86205.png,"this meme is offensive because it suggests that transgender people are a joke, which is not accurate."
240,76381.png,this meme is offensive because it promotes a number of harmful stereotypes and prejudices about obama and muslims.
241,28964.png,this meme is offensive because it promotes negative stereotypes about people with intellectual disabilities.
242,57093.png,"this meme is considered offensive because it promotes negative stereotypes about woman, calling them dishwasher."
243,60249.png,this meme is considered offensive because it promotes a negative and offensive stereotype about jewish people.
244,15349.png,"this meme is offensive because it promotes a harmful stereotype about muslims, suggesting that they are stupid and incompetent."
245,56421.png,this meme is considered offensive because it promotes transphobia and mocks people who are transgender using the image of leonardo di caprio.
246,35684.png,"this meme is offensive because it promotes harmful stereotypes about muslim women, suggesting that they are child brides."
247,70845.png,"this meme is considered offensive because it promotes racism, specifically by implying that black people are stupid or inferior."
248,37450.png,this meme is considered offensive because it promotes negative stereotypes about women by mocking a picture of helen keller.
249,73059.png,"this meme is offensive because it suggests that islamophobia is a real or rational fear, and that people who express concerns about islam or muslims are rational."
250,40718.png,"this meme is offensive because it promotes harmful stereotypes about muslims, suggesting that they are violent and sexual."
251,97128.png,this meme is offensive because it promotes negative and harmful stereotypes about people who are black.
252,03874.png,this meme is offensive because it is about distributing illicit drugs.
253,63924.png,this meme is offensive because it promotes a number of harmful stereotypes and prejudices about amercan soldiers.
254,36190.png,"this meme is offensive because it suggests that all immigrants are like illegal aliens, which is not accurate and it is racist."
255,37965.png,"this meme is offensive because it promotes a harmful stereotype about muslims, suggesting that they are associated with terrorism and violence."
256,98643.png,"this meme is offensive because it promotes harmful stereotypes about black people, suggesting that they are responsible for the majority of welfare recipients and incarcerations, when this is inaccurate."
257,64157.png,this meme is considered offensive because it promotes gun violence and depicts children as violent.
258,92718.png,this meme is offensive because it promotes ableism and suggests that people with disabilities are undesirable.
259,06179.png,"this meme is offensive because it depicts muslim men as sexually perverts, which is not accurate."
260,35729.png,this meme is considered offensive because it promotes homophobia and transphobia.
261,95764.png,"this meme is considered offensive because it compares homosexuality to phobias, which are considered irrational fears."
262,46075.png,"this meme is considered offensive because it promotes negative stereotypes about women, suggesting they are not very apt at work except cooking."
263,71863.png,this meme is considered offensive because it promotes islamophobia by implying that all muslims are sexually pervert.
264,65981.png,this meme is offensive because it promotes racism and hatred against black people.
265,19834.png,this meme is offensive because it promotes racism and stereotypes against black people.
266,48125.png,"this meme is considered offensive because it promotes negative stereotypes about people who are blind, specifically by mocking stevie wonde5."
267,54931.png,"this meme is offensive because it promotes harmful stereotypes about black people, suggesting that they are responsible for poverty and hardship in south africa."
268,90618.png,"this meme is offensive because it promotes harmful stereotypes about muslims, suggesting that they are associated with terrorism and violence."
269,13506.png,"this meme is offensive because it promotes negative stereotypes about black people and their names, suggesting their names cannot even be pronounced."
270,67021.png,"this meme is offensive because it promotes harmful stereotypes about muslims, suggesting that they are unclean or disgusting and pervert."
271,93016.png,"this meme is considered offensive because it promotes harmful stereotypes about middle eastern culture and people, also suggesting muslims drink camel urine."
272,69085.png,this meme is considered offensive because it promotes misogyny and sexism.
273,61905.png,"this meme is offensive because it promotes a number of harmful stereotypes and prejudices against muslims, suggesting they are sexually pervert terrorists."
274,67129.png,this meme is considered offensive because it promotes negative stereotypes about people who are black and suggests that they are unintelligent or uneducated.
275,24835.png,"this meme is offensive because it promotes harmful stereotypes about minorities in india, suggesting that they are violent and untrustworthy towards hindus."
276,41573.png,"this meme is not necessarily considered offensive on its own, but it could be seen as promoting a stereotype about people who are muslim if it is interpreted in a certain way."
277,09138.png,this meme is offensive because it suggests that muslims caused 9/11 and also it is suggestive that muslims are opportunists.
278,48725.png,this meme is considered offensive because it promotes holocaust denial and trivializes the suffering of millions of people who were killed during the holocaust.
279,39528.png,"this meme is considered offensive because it promotes negative stereotypes about people who are woman, comparing them with dishwasher."
280,27163.png,this meme is considered offensive because it promotes homophobia and transphobia.
281,19836.png,this meme is considered offensive because it promotes racism by implying that white people are incapable of telling jokes without offending black people.
282,17932.png,"this meme is offensive because it promotes harmful stereotypes about muslims, suggesting that they are violent, sexual, and perverse."
283,92641.png,"this meme is offensive because it suggests that liberals, mexicans and muslims are not worthy of human designation, which is extremely racist."
284,47189.png,this meme is considered offensive because it promotes negative stereotypes about women.
285,03128.png,"this meme is offensive because it mocks poor black children, which is racist."
286,21973.png,this meme is considered offensive because it promotes homophobia and stereotypes gay men as dishonest and manipulative.
287,58631.png,this meme is considered offensive because it promotes negative stereotypes about people who are transgender.
288,36481.png,this meme is considered offensive because it promotes racist stereotypes.
289,48976.png,this meme is considered offensive because it promotes a negative stereotype about jewish people and trivializes holocaust.
290,64273.png,"this meme is offensive because it promotes harmful stereotypes about police officers, suggesting that they are racist and more likely to use excessive force against unarmed black youth."
291,67342.png,"this meme is considered offensive because it promotes a negative stereotype about muslims, suggesting they have sex with goat and are pervert."
292,06825.png,"this meme is offensive because it suggests that muslim men force muslim women to wear hijab, which is not true."
293,23046.png,this meme is offensive because it uses anti-semitic imagery to mock or criticize jews.
294,09213.png,this meme is offensive because it suggests that all obama voters are stupid.
295,98243.png,this meme is considered offensive because it promotes negative stereotypes about black people and suggests that black people are lazy and unproductive.
296,85392.png,this meme is considered offensive because it promotes animal cruelty.
297,91345.png,this meme is considered offensive because it promotes negative stereotypes about indian men suggesting they are only interested in marriage bribes.
298,42763.png,this meme is offensive because it promotes negative stereotypes about people with physical disabilities.
299,63985.png,"this meme is offensive because it promotes a harmful stereotype about african americans, suggesting that they are uneducated and incompetent."
300,27603.png,"this meme is offensive because it promotes a harmful stereotype about muslim women, suggesting that they are oppressed and can only find freedom by hiding their identity."
301,70934.png,this meme is considered offensive because it promotes misinformation and stereotypes about transgender people.
302,92405.png,"this meme is offensive because it suggests that ilhan omar is a psychopath, which is not supported by the facts."
303,10829.png,this meme is considered offensive because it promotes racism by comparing immigrants to venomous snakes.
304,90648.png,this meme is considered offensive because it promotes violence against lgbt people in the light of sexual perverse.
305,91862.png,"this meme is offensive because it promotes a harmful stereotype about muslims, suggesting that they are violent and prone to terrorism."
306,63804.png,"this meme is offensive because it promotes a harmful stereotype about muslims, suggesting that they are associated with fire, destruction, and terrorism."
307,17308.png,this meme is offensive because it promotes a number of harmful stereotypes and prejudices against jews.
308,84069.png,this meme is considered offensive because it promotes negative stereotypes about women suggesting they are attributed to 45% or more car accidents by distracting the driver with their blabbering.
309,54389.png,"this meme is considered offensive because it promotes the idea that it is acceptable and even desirable to sterilize or ""fix"" people, specifically women, who are considered ""undesirable"" or ""unfit""."
310,63281.png,"this meme is offensive because it promotes harmful stereotypes about muslims, suggesting that they are violent, uncivilized, and associated with terrorism."
311,30245.png,"this meme is considered offensive because it makes light of a serious issue, mostly mocking disable children."
312,84059.png,"this meme is offensive because it promotes harmful stereotypes about trans women, suggesting that they are somehow less deserving of respect and dignity than cis women."
313,21653.png,"this meme is offensive because it suggests that all white people are racist and stupid and only they follow donald trump, which is not true."
314,43928.png,"this meme is offensive because it promotes harmful stereotypes about jews, suggesting that they are wealthy, powerful, and greedy."
315,26493.png,this meme is offensive because it promotes harmful stereotypes about muslim women and about their dress sense (specifically wearing hijab).
316,15768.png,"this meme is not necessarily considered offensive on its own, but it could be seen as promoting a stereotype about people who are black if it is interpreted in a certain way."
317,24593.png,"this meme is offensive because it promotes harmful stereotypes about jewish people, suggesting that they are greedy and materialisticand also trivializes holocaust."
318,46730.png,"this meme is offensive because it suggests that all obama voters are stupid and ignorant, which is not accurate."
319,41802.png,"this meme is offensive because it promotes a harmful stereotype about muslims, suggesting that they are violent and willing to kill those who do not share their religious beliefs."
320,46295.png,this meme is considered offensive because it promotes negative stereotypes about people who are transgender.
321,79138.png,this meme is considered offensive because it promotes misogyny and victim blaming.
322,12873.png,"this meme is considered offensive because it promotes victim blaming and misogyny, suggesting women are only used for sexual purposes."
323,31059.png,"this meme is considered offensive because it promotes negative and harmful stereotypes about people who are lesbian, gay, bisexual, or transgender (lgbt)."
324,06349.png,"this meme is offensive because it mocks barack and michelle obama, suggesting barrack is muslim and michelle is not a woman."
325,28691.png,the suggestion that jews discovered it wasn't a shower is offensive because it promotes anti-semitic stereotypes and trivializes holocaust.
326,14078.png,this meme is considered offensive because it promotes racism by implying that all white people are racist.
327,06859.png,this meme is offensive because it trivializes the holocaust.
328,89406.png,"this meme is offensive because it promotes harmful stereotypes about white people, suggesting that they are unintelligent, uncultured, and unable to learn."
329,50397.png,"this meme is offensive because it promotes a harmful stereotype about muslims, suggesting that they are all violent terrorists."
330,45203.png,this meme is offensive because it promotes harmful stereotypes about jewish people.
331,13764.png,"this meme is offensive because it trivializes the holocaust, one of the most horrific events in human history."
332,81305.png,this meme is seen as promoting a stereotype about people who are japanese from the ww2 context of pearl harbor attack.
333,31048.png,"this meme is offensive because it promotes a harmful stereotype about christians, suggesting that they are intolerant and hateful."
334,61742.png,this meme is considered offensive because it promotes harmful stereotypes about black people.
335,86479.png,this meme is considered offensive because it simultaneously mocks women and physical disabilities.
336,64197.png,this meme is offensive because it suggests all muslims are like zombies.
337,78450.png,"this meme is offensive because it promotes a harmful stereotype about palestinians, suggesting that they are somehow not real or are not people."
338,76584.png,"this meme is offensive because it promotes harmful stereotypes about muslims, suggesting that they are violent and intolerant."
339,53062.png,"this meme is offensive because it suggests that all muslims are violent, which is not the case."
340,41972.png,"this meme is offensive because it promotes a harmful stereotype about immigrants, suggesting that they are criminals who should be deported."
341,41689.png,this meme is offensive because it promotes violent extremism and terrorism suggesting muslims are violent.
342,30486.png,this meme is considered offensive because it promotes misogyny and sexism by implying that women are not capable of taking care of themselves or their families if the economy collapses.
343,29643.png,this meme is considered offensive because it promotes negative stereotypes about women.
344,16374.png,this meme is considered offensive because it promotes negative stereotypes about chinese people.
345,83175.png,this meme is considered offensive because it promotes homophobia and suggests that men should engage in sexual activity with goats.
